frame,ball1Error,ball2Error,ball3Error,ball4Error
0,0.0,0.0,0.0,0.0
1,201.43636,143.04828,384.14545,162.73856
2,172.48872,166.29492,370.86963,158.11533
3,160.40189,177.72289,374.57962,157.23308
4,140.57582,193.66031,372.96692,160.3901
5,132.56412,206.55049,372.01718,160.60733
6,142.53755,194.96912,372.92984,158.83101
7,123.26062,222.12207,373.34885,163.52272
8,109.03762,240.70753,374.58862,165.40437
9,99.583954,256.99908,375.06677,168.59407
10,89.722,274.445,378.02243,171.75945
11,99.00519,259.478,376.42154,169.25029
12,82.15072,292.3957,382.6096,177.44052
13,73.70854,312.65726,391.4575,181.65932
14,64.26236,330.53473,403.55743,188.17511
15,44.662594,389.29935,419.476,208.04303
16,57.22376,356.13516,408.63937,197.26399
17,47.065533,392.08337,413.77502,207.63658
18,40.417286,396.3849,412.6918,219.52138
19,34.91453,399.78897,404.67047,228.57784
20,33.045128,405.42514,394.98654,236.87833
21,36.7167,399.68774,401.2684,229.02252
22,28.638044,412.6098,379.63593,246.30598
23,25.56088,420.89975,360.2354,258.7623
24,25.080355,428.61035,342.28293,270.08032
25,22.953815,436.47485,327.2501,280.95578
26,24.841442,429.62665,341.87787,271.02985
27,22.764912,439.88498,314.77075,292.32245
28,22.902613,445.48688,300.0661,309.48114
29,23.284603,448.69305,287.04434,322.43213
30,23.125422,448.53348,275.97025,337.24353
31,23.219864,446.45728,286.9463,324.5982
32,24.909412,448.35068,262.43274,351.22885
33,27.86232,445.8719,250.84512,367.0271
34,31.321772,438.80417,240.13365,384.92728
35,34.158638,432.04163,231.48596,395.75174
36,32.099777,436.588,241.25035,383.19766
37,37.525574,417.8034,220.50006,389.94476
38,63.837345,337.7142,181.48012,401.84177
39,51.39112,375.38962,202.91772,394.94995
40,49.472237,381.77844,206.17325,393.65195
41,49.60014,381.0683,205.68013,393.926
42,61.578766,341.0795,190.88884,396.9487
43,71.18383,316.78754,185.04106,395.88498
44,79.19515,301.0796,178.4493,396.3389
45,85.85656,281.29678,174.77199,393.82892
46,79.22058,298.31366,179.62614,394.87347
47,94.644356,265.4415,169.62128,390.62204
48,106.514175,246.0015,167.82098,389.38403
49,116.202225,230.1258,162.75941,386.1683
50,127.367836,215.8869,160.21002,384.65726
51,117.667175,230.12314,163.78545,386.3479
52,139.01883,200.33574,159.70746,379.3301
53,153.47546,182.98296,159.82715,375.17426
54,163.54303,172.7339,158.70227,374.48502
55,178.73895,158.53114,156.78601,371.89713
56,166.17998,171.31172,158.78217,374.83823
57,193.48651,144.03708,159.4662,374.49286
58,207.73758,130.90942,160.7745,371.25378
59,223.19675,122.34973,165.28267,372.3383
60,240.32744,108.62896,166.38824,375.8554
61,226.19368,119.71854,164.73926,374.5788
62,254.14316,101.96271,168.24521,375.43335
63,276.00928,88.62909,173.13072,379.39752
64,294.16104,81.01264,176.78673,381.48282
65,312.3614,73.86813,182.59648,392.18134
66,295.9309,81.15526,178.5212,386.7065
67,327.96555,65.91836,187.50359,402.16714
68,353.01556,58.355377,196.4505,409.1159
69,371.01245,50.57878,201.91594,412.94635
70,394.29758,45.059,209.3914,412.63037
71,375.32288,51.145016,203.20813,409.904
72,392.8493,42.446938,217.50417,412.7943
73,396.51666,35.350895,228.6224,405.87473
74,404.64835,32.446365,236.52266,395.58408
75,414.59106,29.061827,246.77002,379.235
76,406.97958,32.32644,238.37898,388.98584
77,420.7301,25.785389,256.9699,361.51694
78,428.6497,24.677156,269.91733,342.77814
79,437.31458,23.061108,281.86182,326.8054
80,442.39856,23.230474,293.36377,313.41678
81,435.7534,24.368315,282.64832,326.91925
82,445.83765,22.70899,306.33093,302.0038
83,449.72632,23.07757,322.5496,286.1077
84,449.5661,23.54545,336.18045,275.22925
85,449.17798,25.11765,352.0848,261.3411
86,448.42883,24.483189,338.92816,273.41333
87,444.92337,28.23392,364.65054,253.6969
88,438.78836,29.943254,384.13467,239.48448
89,431.3176,35.97263,396.57773,231.8705
90,394.035,48.906258,397.9222,203.4352
91,412.25403,41.436455,390.20157,220.0518
92,385.9454,47.715836,394.98462,207.14676
93,361.31277,55.45422,394.73294,196.61948
94,337.05368,63.096455,396.45496,190.71925
95,320.3794,71.287506,394.84735,185.04672
96,335.7429,64.67394,394.8435,190.97533
97,305.15656,78.02549,395.0057,179.76549
98,280.34827,85.857216,393.13785,174.09222
99,266.17175,95.588486,389.76685,169.32344
100,244.57404,107.09221,387.47543,167.4051
101,262.64075,98.22773,389.4601,170.7501
102,232.70009,114.51951,385.4833,162.79683
103,213.89742,128.46484,382.6379,160.66508
104,198.38431,140.44638,379.6899,158.71696
105,182.49765,151.96313,376.18915,159.96211
106,197.06747,141.65147,378.89447,160.47818
107,173.13817,165.72868,373.88974,158.59673
108,160.704,177.79204,372.9105,157.3123
109,140.67061,193.67844,372.6255,158.77055
110,132.61952,207.06451,373.35126,162.09949
111,143.5832,194.69234,373.30392,160.39018
112,122.51639,221.84914,374.23615,163.13367
113,109.33701,241.18068,373.64746,165.52864
114,99.439316,256.579,375.45358,168.12866
115,88.92074,274.5397,379.12256,172.06407
116,99.562904,259.2633,376.83377,169.24144
117,81.9857,292.4927,382.5007,176.81862
118,73.74265,312.67343,391.3584,181.93213
119,64.27097,330.53314,403.28882,188.47836
120,44.66231,389.29874,419.04242,207.57545
121,57.223454,356.13504,408.19742,196.9911
122,46.992462,392.08347,413.41147,208.04674
123,40.351128,396.3848,414.33984,219.26578
124,35.12176,399.78897,403.05838,228.80696
125,32.880726,405.27646,394.81183,236.5301
126,36.595623,399.21408,400.25543,228.93732
127,28.828041,413.37802,380.56802,245.99698
128,25.38194,421.51474,360.55118,259.47214
129,24.43337,427.4375,342.0929,269.88965
130,22.64427,435.91238,327.22177,280.91458
131,24.534397,429.18323,341.88144,271.03207
132,24.176628,439.74338,314.77188,293.04007
133,22.250145,444.93872,300.06613,309.08185
134,22.55718,448.80942,287.19745,322.4435
135,23.218481,448.97052,275.87662,337.329
136,23.07975,446.63156,286.94995,324.5554
137,25.25744,448.49408,262.13443,351.20453
138,28.189425,446.0427,250.71951,366.93723
139,31.03783,439.42972,240.41359,384.44473
140,34.629738,430.604,232.0932,396.81845
141,31.857533,436.17157,240.97891,384.04724
142,37.38881,418.34467,220.80222,389.53525
143,63.632545,337.71902,181.33032,401.63202
144,51.417797,375.3725,202.99542,394.84515
145,49.403854,381.7767,206.16873,393.92184
146,49.61044,381.0687,205.7645,394.0553
147,62.251457,341.0795,190.87782,395.05258
148,70.73723,316.78754,185.09764,395.79718
149,78.981895,301.07968,178.67496,395.3614
150,85.788826,281.2967,174.09857,394.05215
151,79.149055,298.31375,179.1773,394.46378
152,94.98387,265.60895,169.83965,389.9478
153,106.332756,245.93228,168.35645,389.18225
154,116.504524,230.00404,162.37119,386.56308
155,127.119545,215.9333,160.40274,384.34894
156,117.85904,230.13156,163.8196,386.08246
157,139.23306,200.9777,160.44112,379.08414
158,152.95045,182.71725,158.9137,374.25507
159,165.0886,172.14096,158.96321,374.261
160,177.92924,159.40656,157.07414,372.30444
161,166.83995,171.53989,158.61145,374.21884
162,192.49983,143.15677,161.09871,374.84024
163,207.37836,132.41513,160.24077,371.24777
164,223.43289,121.8228,164.80219,372.79318
165,240.73192,109.289825,166.54733,375.7179
166,225.78967,120.40613,164.52023,374.71466
167,254.87837,101.456894,169.51596,374.95587
168,275.76147,88.563965,172.26279,379.39117
169,294.11353,81.107,176.80296,382.12762
170,312.36496,73.84198,182.88602,392.0974
171,295.93286,81.1497,178.60806,386.7506
172,327.9655,65.91868,187.71951,402.2213
173,353.01556,58.077232,196.42567,409.7506
174,371.01245,50.877094,203.2854,412.61832
175,394.29758,45.868313,207.894,413.87314
176,375.16806,50.974194,202.28883,410.11966
177,392.62912,42.338608,218.08514,412.2554
178,398.10684,35.279236,228.3589,405.8648
179,404.34567,32.409023,237.12117,395.6235
180,414.4804,28.52394,246.9567,378.7298
181,406.92438,32.242577,238.51938,388.65732
182,420.76566,25.806164,256.6913,361.8663
183,428.72195,25.429985,269.3666,342.82437
184,436.86835,22.9866,282.01974,326.77338
185,441.8605,23.354603,293.5829,312.50806
186,435.88504,24.248188,283.01016,326.45807
187,445.88095,22.490664,306.32834,301.9217
188,449.28125,23.215776,322.58722,286.14087
189,449.76135,23.406572,336.01566,275.8457
190,449.62085,25.532454,352.14352,261.43692
191,448.29272,24.592672,338.8175,273.03845
192,445.4408,28.341457,364.82782,253.16367
193,438.77005,29.995445,384.47894,239.62227
194,431.17593,35.729214,396.01468,232.20784
195,394.65552,48.806324,398.19406,203.4029
196,412.66385,41.305183,390.39224,220.17726
197,385.66486,47.473003,396.117,207.12682
198,361.19336,56.00712,394.66922,196.6769
199,337.08203,62.816574,396.238,190.67923
200,320.3859,71.66815,395.16968,184.9055
201,335.74265,64.603775,394.7288,190.90791
202,305.15625,77.68652,395.36075,180.22589
203,280.34827,86.17026,392.63843,174.2342
204,266.17175,95.98328,390.02966,169.31287
205,244.57404,106.02397,387.2,167.30536
206,262.64075,97.47658,389.2656,171.49158
207,232.70009,115.45808,385.3617,162.61809
208,213.51013,128.23431,381.22763,160.12639
209,197.99066,140.37224,380.34506,158.51074
210,182.9546,153.11606,375.78842,159.69676
211,197.22575,142.14206,378.57767,160.85904
212,174.24547,164.8494,374.39578,158.87973
213,159.33134,178.15048,373.6692,155.7856
214,140.04556,194.06956,372.89252,160.672
215,132.45229,207.63004,372.29498,161.05756
216,143.39406,195.01201,373.03003,160.26897
217,123.17682,221.15033,372.42648,163.2197
218,108.59506,241.23798,374.8469,164.75633
219,99.768555,257.45544,375.4469,168.5815
220,89.23833,274.20416,377.75516,171.46799
221,98.8001,259.4403,376.51996,168.95703
222,81.74722,292.39996,382.3797,177.28511
223,73.83733,312.65887,392.06906,181.67133
224,64.43058,330.5347,402.7239,188.8473
225,44.382576,389.29935,419.47827,207.5179
226,57.020767,356.13507,408.83347,196.90944
227,46.62971,392.08347,412.86594,208.2029
228,40.22624,396.3848,413.08508,218.99745
229,35.84437,399.78897,404.2058,228.27205
230,33.19256,405.27646,394.7423,237.10948
231,36.700783,399.21408,400.32993,229.19228
232,28.947687,413.37802,379.21594,245.91757
233,25.949062,421.19244,361.00244,259.06955
234,24.688063,428.3293,342.21436,270.0277
235,23.013859,435.58157,327.21857,281.04868
236,24.394855,429.32083,341.8698,271.75412
237,23.231428,440.91943,314.9107,292.51917
238,22.322142,445.649,300.58374,308.4135
239,22.893915,448.22012,286.54013,323.0962
240,23.728296,449.18646,275.5342,337.2834
241,23.368484,446.64334,286.93854,324.5527
242,25.0663,448.01776,262.39276,350.90085
243,28.224384,445.9761,251.0109,367.09927
244,30.485804,438.69803,239.34343,383.85995
245,34.895847,431.5873,230.94133,396.0938
246,32.040913,436.10587,240.77324,383.0958
247,37.163036,418.61133,221.03082,390.14203
248,63.878567,337.59695,181.49731,402.15036
249,51.53458,375.31598,203.20288,395.39767
250,48.830204,381.7629,206.24641,394.3381
251,49.315025,381.05896,205.84784,394.6463
252,62.439877,341.08963,190.94513,395.6795
253,70.93952,316.78876,184.99751,394.4508
254,79.05858,301.07944,178.27803,396.5377
255,85.953705,281.2967,174.88248,394.49472
256,79.51132,298.31366,179.59091,394.8742
257,94.46349,265.60904,169.80309,390.652
258,106.13656,245.93225,167.40288,388.89285
259,116.38215,230.06189,162.51952,386.45486
260,127.87391,215.90947,160.84279,383.8723
261,117.636986,230.12735,163.70413,386.18478
262,139.35463,200.4549,159.97075,379.81738
263,150.72484,183.05318,159.09775,374.66895
264,164.51509,172.4369,158.82713,375.0284
265,179.10368,159.43872,157.64824,373.01706
266,167.19559,171.06621,158.28906,374.701
267,193.162,143.40273,159.95828,374.11432
268,207.63824,131.92094,160.6735,371.1702
269,223.17232,121.83629,165.12929,373.69522
270,240.57545,109.169395,166.2696,375.29126
271,226.29716,120.02225,164.48027,374.2853
272,254.81638,101.74144,168.96992,374.79703
273,275.67642,88.23744,173.3489,379.04263
274,294.10754,81.53665,176.79364,382.66312
275,312.36716,73.74004,182.69186,392.0546
276,295.93323,81.12605,178.5435,386.95847
277,327.9655,65.91974,187.47589,402.26938
278,353.01556,58.078106,197.27974,409.64172
279,371.01245,50.877144,202.72922,412.175
280,394.2975,45.86829,208.22934,413.9204
281,375.32288,51.63789,202.74738,410.4967
282,392.8494,41.576466,218.73894,412.76758
283,396.51657,35.759914,228.2537,405.97925
284,405.03705,32.110752,236.65346,395.40927
285,415.1828,27.984974,247.24136,378.97473
286,407.289,32.017635,238.38945,388.83176
287,420.71014,26.39617,257.08685,361.85733
288,428.66757,24.883564,269.21707,342.75485
289,436.83133,23.359722,281.9926,326.7671
290,442.11447,23.686167,293.47543,312.94174
291,436.04324,24.34327,282.88165,326.62
292,445.32025,22.565977,306.2741,302.48828
293,449.50473,23.248075,322.75076,285.60263
294,449.58154,23.393959,335.94202,275.13068
295,449.75366,25.46541,352.20242,261.5378
296,447.5404,24.744333,339.2446,273.6751
297,445.78897,27.94658,365.05096,253.06557
298,438.91867,29.99044,384.67136,240.05885
299,430.69498,35.747776,395.73672,232.08801
300,394.59027,48.371185,398.77206,203.8405
301,412.47388,41.3022,390.4306,220.31442
302,385.77167,48.03664,394.93668,206.89296
303,361.22897,55.564182,394.84296,196.72655
304,337.0819,62.80586,396.6065,190.67815
305,320.3848,71.31496,395.19092,185.02695
306,335.74252,64.65877,395.10593,191.15656
307,305.15634,77.873985,395.02066,179.5526
308,280.34818,85.925064,392.52634,175.05472
309,266.17175,95.92962,389.62885,169.74968
310,244.57407,105.808044,387.4391,167.3996
311,262.64075,97.640495,389.44583,171.4997
312,232.70009,114.79468,386.08493,162.73062
313,213.51013,128.23749,382.13055,160.24728
314,197.99066,140.68857,378.81934,159.39795
315,182.9546,152.4022,376.5761,159.31108
316,197.02179,141.5291,379.13953,160.42332
317,172.97963,165.77576,371.70215,158.65596
318,158.97664,178.32756,374.4023,155.29335
319,141.26694,193.29842,372.57062,159.9814
320,132.26778,208.35535,372.08594,160.54156
321,143.53886,195.26665,372.5352,159.98396
322,123.27899,221.29262,372.33487,162.74596
323,108.83732,240.79456,374.23926,165.05289
324,99.57883,257.1761,375.66187,168.80518
325,88.850136,274.3796,378.46066,171.88567
326,98.92842,259.4661,376.93027,169.23647
327,82.184204,292.39667,382.85858,177.0918
328,73.82042,312.65765,391.1534,182.13528
329,64.27188,330.53473,403.13693,187.84802
330,44.65987,389.29944,419.64166,207.83707
331,57.22319,356.13507,408.35858,196.98671
332,46.036224,392.08337,415.48157,207.25888
333,40.2338,396.06888,411.23337,220.06395
334,35.616943,399.15726,405.12286,227.56802
335,32.822327,405.58563,395.54053,237.33498
336,36.62639,399.1965,400.84366,229.01324
337,28.71076,412.79138,379.3004,246.32906
338,26.223297,421.69812,360.77542,258.65515
339,24.986933,427.6548,342.15543,270.11978
340,23.09621,436.9175,327.2203,281.05606
341,25.019442,429.7232,341.87927,271.0817
342,23.293192,440.12677,314.9078,292.28262
343,22.45765,444.96,299.9061,309.42377
344,23.148413,448.65506,286.04187,322.449
345,23.270351,448.53064,275.84128,338.1654
346,23.168768,446.3268,287.19302,324.9188
347,25.517992,448.15527,262.7211,351.40048
348,28.11352,446.08115,250.45471,366.38223
349,30.474611,438.38574,239.70657,384.8419
350,35.310383,432.4954,232.53535,395.61005
351,32.167583,436.71957,241.14989,383.31137
